id_predio,colonia,superficie_terreno,superficie_construccion,valor_unitario_suelo,subsidio,density,modernity_score,anio_construccion,indice_inversion,cluster
47,DEL CARMEN,203.0,264.0,5389.03,0.0,1.3004926108374384,0.34782608695652173,1974.0,0.8484288254483002,0
49,DEL CARMEN,245.0,371.0,5389.03,0.0,1.5142857142857142,0.4492753623188406,1981.0,0.8342208186392611,0
50,DEL CARMEN,138.26,260.66,5389.03,586.88,1.8852885867206715,0.4057971014492754,1978.0,0.8095651527047225,0
51,DEL CARMEN,245.0,230.0,5389.03,960.61,0.9387755102040817,0.30434782608695654,1971.0,0.8724673886472671,0
52,DEL CARMEN,249.0,306.0,5389.03,0.0,1.2289156626506024,0.43478260869565216,1980.0,0.8531856008110512,0
53,DEL CARMEN,255.0,268.0,5389.03,0.0,1.0509803921568628,0.3333333333333333,1973.0,0.8650106105703342,0
54,DEL CARMEN,169.0,125.0,5389.03,602.52,0.7396449704142012,0.3188405797101449,1972.0,0.8857009683071777,0
55,DEL CARMEN,248.0,56.0,5389.03,750.43,0.22580645161290322,0.2753623188405797,1969.0,0.9198490350882079,0
56,DEL CARMEN,292.0,299.0,5389.03,1423.97,1.023972602739726,0.391304347826087,1977.0,0.8668054619932596,0
57,DEL CARMEN,258.0,390.0,5389.03,0.0,1.5116279069767442,0.5797101449275363,1990.0,0.8343974480240911,0
59,DEL CARMEN,225.0,278.0,5389.03,0.0,1.2355555555555555,0.34782608695652173,1974.0,0.8527443347361252,0
60,DEL CARMEN,140.0,224.0,5389.03,0.0,1.6,0.2318840579710145,1966.0,0.8285245209784943,0
62,DEL CARMEN,152.0,288.0,5389.03,561.21,1.894736842105263,0.2463768115942029,1967.0,0.8089372518291907,0
63,DEL CARMEN,182.81,368.02,5389.03,0.0,2.0131283846616705,0.34782608695652173,1974.0,0.8010693280484733,0
64,DEL CARMEN,203.47,371.5,5389.03,1364.83,1.825821988499533,0.34782608695652173,1974.0,0.8135171128886989,0
65,DEL CARMEN,122.0,198.0,5389.03,673.11,1.6229508196721312,0.3188405797101449,1972.0,0.826999282807032,0
66,DEL CARMEN,162.0,177.0,5389.03,720.17,1.0925925925925926,0.30434782608695654,1971.0,0.8622451966369844,0
67,DEL CARMEN,121.0,263.0,5389.03,0.0,2.1735537190082646,0.21739130434782608,1965.0,0.7904079727195338,0
68,DEL CARMEN,151.0,168.0,5389.03,580.43,1.1125827814569536,0.7101449275362319,1999.0,0.860916712532877,0
69,DEL CARMEN,191.0,253.0,5389.03,556.87,1.324607329842932,0.42028985507246375,1979.0,0.8468262382445881,0
78,DEL CARMEN,202.0,310.0,5389.03,0.0,1.5346534653465347,0.30434782608695654,1971.0,0.8328672429574947,0
79,DEL CARMEN,140.0,250.0,5389.03,1994.15,1.7857142857142858,0.21739130434782608,1965.0,0.8161825427134994,0
80,DEL CARMEN,143.0,269.0,5389.03,1510.46,1.881118881118881,0.2318840579710145,1966.0,0.8098422580211541,0
84,DEL CARMEN,61.0,168.0,5389.03,1040.69,2.7540983606557377,0.2463768115942029,1967.0,0.7518268300706827,1
85,DEL CARMEN,61.0,168.0,5389.03,608.62,2.7540983606557377,0.6521739130434783,1995.0,0.7518268300706827,1
86,DEL CARMEN,61.0,168.0,5389.03,608.62,2.7540983606557377,0.6521739130434783,1995.0,0.7518268300706827,1
